25
0 1-60; 2-92; 3-66; 4-45; 5-91; 6-65; 7-38; 8-23; 9-44; 10-81; 11-80; 12-91; 13-91; 14-87; 15-45; 16-85; 17-64; 18-86; 19-73; 20-47; 21-91; 22-45; 23-43; 24-66;
1 0-60; 2-25; 3-38; 4-92; 5-75; 6-3; 7-10; 8-33; 9-18; 10-91; 11-27; 12-91; 13-83; 14-76; 15-28; 16-10; 17-84; 18-76; 19-67; 20-48; 21-35; 22-59; 23-25; 24-69;
2 0-92; 1-25; 3-80; 4-39; 5-7; 6-55; 7-3; 8-21; 9-76; 10-1; 11-45; 12-62; 13-89; 14-45; 15-65; 16-99; 17-58; 18-59; 19-60; 20-36; 21-79; 22-4; 23-70; 24-20;
3 0-66; 1-38; 2-80; 4-20; 5-45; 6-7; 7-66; 8-15; 9-71; 10-44; 11-19; 12-30; 13-43; 14-17; 15-86; 16-57; 17-32; 18-7; 19-50; 20-1; 21-18; 22-0; 23-34; 24-33;
4 0-45; 1-92; 2-39; 3-20; 5-58; 6-6; 7-72; 8-89; 9-31; 10-97; 11-27; 12-7; 13-47; 14-4; 15-38; 16-19; 17-57; 18-72; 19-51; 20-23; 21-64; 22-82; 23-30; 24-90;
5 0-91; 1-75; 2-7; 3-45; 4-58; 6-1; 7-31; 8-36; 9-92; 10-95; 11-21; 12-16; 13-48; 14-45; 15-57; 16-97; 17-36; 18-51; 19-88; 20-27; 21-51; 22-86; 23-76; 24-51;
6 0-65; 1-3; 2-55; 3-7; 4-6; 5-1; 7-4; 8-99; 9-50; 10-75; 11-48; 12-21; 13-7; 14-42; 15-5; 16-96; 17-70; 18-55; 19-48; 20-18; 21-53; 22-43; 23-54; 24-59;
7 0-38; 1-10; 2-3; 3-66; 4-72; 5-31; 6-4; 8-76; 9-8; 10-55; 11-65; 12-38; 13-9; 14-14; 15-93; 16-95; 17-48; 18-95; 19-74; 20-12; 21-97; 22-56; 23-63; 24-99;
8 0-23; 1-33; 2-21; 3-15; 4-89; 5-36; 6-99; 7-76; 9-57; 10-63; 11-12; 12-44; 13-84; 14-8; 15-87; 16-11; 17-16; 18-55; 19-60; 20-7; 21-48; 22-49; 23-67; 24-50;
9 0-44; 1-18; 2-76; 3-71; 4-31; 5-92; 6-50; 7-8; 8-57; 10-34; 11-77; 12-36; 13-22; 14-93; 15-57; 16-8; 17-37; 18-68; 19-38; 20-16; 21-95; 22-27; 23-34; 24-80;
10 0-81; 1-91; 2-1; 3-44; 4-97; 5-95; 6-75; 7-55; 8-63; 9-34; 11-67; 12-67; 13-71; 14-66; 15-76; 16-27; 17-58; 18-26; 19-36; 20-80; 21-38; 22-50; 23-36; 24-60;
11 0-80; 1-27; 2-45; 3-19; 4-27; 5-21; 6-48; 7-65; 8-12; 9-77; 10-67; 12-43; 13-16; 14-72; 15-3; 16-10; 17-72; 18-21; 19-30; 20-95; 21-8; 22-10; 23-61; 24-45;
12 0-91; 1-91; 2-62; 3-30; 4-7; 5-16; 6-21; 7-38; 8-44; 9-36; 10-67; 11-43; 13-88; 14-33; 15-76; 16-9; 17-62; 18-4; 19-45; 20-76; 21-77; 22-63; 23-37; 24-33;
13 0-91; 1-83; 2-89; 3-43; 4-47; 5-48; 6-7; 7-9; 8-84; 9-22; 10-71; 11-16; 12-88; 14-10; 15-78; 16-60; 17-3; 18-67; 19-55; 20-69; 21-93; 22-0; 23-51; 24-44;
14 0-87; 1-76; 2-45; 3-17; 4-4; 5-45; 6-42; 7-14; 8-8; 9-93; 10-66; 11-72; 12-33; 13-10; 15-55; 16-48; 17-90; 18-76; 19-75; 20-47; 21-81; 22-66; 23-43; 24-28;
15 0-45; 1-28; 2-65; 3-86; 4-38; 5-57; 6-5; 7-93; 8-87; 9-57; 10-76; 11-3; 12-76; 13-78; 14-55; 16-13; 17-73; 18-89; 19-55; 20-38; 21-18; 22-40; 23-6; 24-38;
